"[44, 46], [27, 58], [46, 48], [56, 23], [32, 46], [43, 63]"
"[14, 64], [65, 55], [44, 9], [49, 45], [67, 72], [35, 50]"
"[4, 50], [14, 75], [18, 57], [55, 70], [27, 43], [53, 31]"
"[21, 48], [13, 51], [10, 8], [45, 6], [28, 41], [51, 6]"
"[67, 70], [30, 6], [42, 69], [54, 22], [19, 52], [3, 34]"
"[14, 76], [9, 61], [51, 31], [48, 30], [55, 56], [12, 5]"
"[66, 60], [16, 56], [30, 66], [39, 31], [64, 80], [32, 6]"
"[11, 76], [60, 30], [2, 52], [54, 64], [6, 57], [23, 30]"
"[25, 49], [34, 31], [36, 24], [48, 11], [57, 18], [53, 25]"
"[60, 70], [23, 70], [46, 25], [21, 51], [11, 79], [66, 71]"
"[4, 68], [9, 79], [68, 47], [31, 64], [16, 23], [14, 41]"
"[9, 25], [29, 45], [3, 22], [25, 66], [61, 67], [45, 60]"
"[15, 59], [56, 33], [48, 63], [55, 71], [12, 46], [15, 62]"
"[11, 34], [22, 48], [47, 71], [5, 7], [22, 57], [33, 43]"
"[9, 54], [46, 40], [31, 78], [69, 23], [27, 46], [8, 22]"
"[44, 38], [7, 76], [37, 18], [38, 8], [13, 37], [37, 56]"
"[57, 51], [66, 24], [48, 25], [62, 43], [14, 12], [1, 39]"
"[12, 47], [68, 37], [24, 8], [3, 21], [8, 30], [19, 75]"
"[19, 18], [66, 50], [2, 25], [47, 51], [18, 70], [41, 49]"
"[19, 13], [16, 66], [6, 63], [31, 5], [9, 63], [7, 68]"
"[19, 53], [25, 72], [57, 9], [19, 80], [13, 54], [23, 74]"
"[32, 54], [38, 80], [28, 62], [27, 41], [42, 38], [52, 75]"
"[42, 71], [27, 22], [38, 80], [56, 71], [62, 52], [69, 9]"
"[66, 32], [47, 69], [42, 24], [41, 6], [46, 71], [61, 31]"
"[24, 63], [46, 54], [64, 78], [52, 17], [62, 40], [68, 5]"
"[26, 27], [51, 64], [8, 64], [4, 71], [5, 53], [9, 41]"
"[33, 79], [33, 48], [11, 69], [9, 32], [69, 40], [52, 54]"
"[39, 35], [43, 32], [18, 80], [39, 50], [1, 79], [68, 47]"
"[57, 48], [57, 63], [14, 48], [68, 69], [13, 56], [54, 79]"
"[18, 16], [7, 18], [40, 46], [17, 33], [30, 61], [12, 76]"
"[30, 74], [52, 39], [54, 24], [57, 34], [50, 19], [62, 52]"
"[59, 7], [51, 9], [14, 18], [42, 28], [11, 16], [30, 54]"
"[6, 6], [65, 31], [43, 10], [34, 70], [57, 60], [67, 43]"
"[24, 35], [42, 41], [42, 18], [48, 62], [8, 69], [67, 18]"
"[54, 12], [42, 71], [64, 64], [52, 10], [31, 80], [30, 10]"
"[21, 13], [57, 16], [13, 37], [63, 50], [14, 35], [46, 17]"
"[7, 28], [32, 75], [69, 13], [51, 35], [4, 50], [17, 19]"
"[35, 32], [62, 5], [11, 80], [5, 66], [37, 27], [67, 25]"
"[52, 22], [14, 54], [49, 28], [7, 43], [21, 37], [25, 41]"
"[54, 15], [41, 49], [9, 64], [32, 27], [63, 15], [17, 17]"
"[28, 30], [37, 43], [24, 66], [69, 56], [46, 6], [30, 15]"
"[22, 46], [48, 6], [64, 33], [22, 70], [28, 50], [1, 73]"
"[52, 46], [14, 67], [19, 73], [47, 72], [46, 8], [25, 75]"
"[16, 7], [63, 56], [27, 49], [28, 66], [25, 57], [10, 77]"
"[40, 22], [4, 26], [57, 46], [6, 55], [1, 7], [50, 9]"
"[32, 5], [41, 79], [27, 16], [6, 32], [12, 58], [62, 25]"
"[13, 74], [65, 14], [1, 79], [6, 13], [33, 14], [56, 31]"
"[26, 20], [36, 22], [9, 66], [3, 58], [2, 59], [36, 55]"
"[52, 30], [39, 29], [20, 29], [48, 30], [49, 56], [41, 73]"
"[18, 16], [63, 23], [24, 6], [38, 47], [7, 72], [10, 73]"
"[53, 14], [40, 26], [47, 55], [64, 23], [59, 30], [68, 79]"
"[28, 32], [42, 36], [26, 26], [61, 50], [30, 13], [31, 70]"
"[24, 9], [42, 24], [25, 60], [21, 33], [46, 53], [43, 26]"
"[44, 38], [38, 16], [15, 18], [41, 70], [8, 65], [18, 64]"
"[19, 39], [46, 78], [29, 46], [42, 34], [22, 73], [39, 31]"
"[12, 72], [57, 25], [10, 34], [39, 11], [68, 40], [29, 65]"
"[20, 6], [22, 30], [54, 16], [61, 55], [49, 80], [49, 39]"
"[62, 26], [48, 31], [21, 17], [44, 30], [5, 31], [64, 66]"
"[66, 76], [27, 68], [51, 43], [26, 23], [56, 38], [62, 51]"
"[26, 42], [36, 27], [43, 52], [38, 58], [37, 11], [45, 64]"
"[6, 11], [2, 75], [46, 74], [62, 35], [29, 34], [61, 39]"
"[28, 34], [52, 15], [14, 30], [28, 36], [14, 43], [60, 55]"
"[32, 46], [12, 51], [48, 69], [45, 66], [22, 8], [48, 24]"
"[23, 17], [18, 76], [54, 80], [32, 46], [65, 33], [39, 43]"
"[22, 50], [30, 28], [19, 17], [3, 56], [2, 43], [42, 18]"
"[56, 29], [29, 46], [13, 52], [47, 57], [30, 35], [9, 14]"
"[33, 19], [54, 52], [14, 28], [42, 11], [55, 80], [15, 68]"
"[31, 48], [49, 51], [63, 75], [38, 75], [47, 65], [42, 67]"
"[29, 68], [7, 53], [11, 51], [13, 38], [50, 76], [24, 11]"
"[68, 20], [67, 13], [22, 35], [30, 78], [2, 65], [14, 64]"
"[63, 41], [24, 11], [66, 58], [26, 10], [13, 31], [48, 48]"
